player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Creed Humphrey,59996,C,KC,21,100.0,0,16,81.4,74.3,84.1,4,10,866,100.0,100.0,98.7,6,18,4,1380,1351,2,0,1380,923,923,26,0,457,0
Penei Sewell,81788,T,DET,20,99.9,1,11,92.8,79.2,95.1,6,18,757,99.7,99.7,98.3,7,25,1,1377,0,0,142,1379,794,796,0,1228,583,8
Trey Smith,62960,G,KC,21,100.0,2,16,74.6,68.1,76.2,5,36,855,100.0,100.0,97.4,11,43,2,1374,0,0,0,1374,912,912,1373,0,462,0
Jawaan Taylor,41665,T,KC,21,99.9,3,16,49.8,64.6,42.6,12,42,852,99.9,99.9,96.2,24,59,5,1363,0,0,16,1364,909,910,0,1338,454,9
O'Cyrus Torrence,102821,G,BUF,19,100.0,1,4,54.9,48.2,58.1,4,39,730,100.0,100.0,96.6,6,46,3,1307,0,0,0,1307,775,775,1307,0,532,0
Spencer Brown,42296,T,BUF,19,100.0,1,4,70.1,66.5,73.3,5,32,729,100.0,100.0,96.8,9,42,5,1304,0,0,0,1304,774,774,0,1301,530,3
Connor McGovern,41714,G,BUF,19,100.0,1,4,55.4,73.8,44.5,4,22,729,100.0,100.0,97.9,4,28,2,1278,0,1278,0,1278,774,774,0,0,504,0
Terence Steele,39461,T,DAL,18,100.0,1,9,52.3,48.9,56.5,14,34,754,100.0,100.0,95.8,7,56,8,1273,0,0,0,1273,809,809,0,1271,464,1
Mitch Morse,9482,C,BUF,19,100.0,1,4,63.9,72.5,61.5,2,27,728,100.0,100.0,97.9,5,30,1,1272,1272,0,0,1272,773,773,0,0,499,0
Dion Dawkins,11818,T,BUF,19,100.0,3,4,74.9,77.4,66.9,7,28,724,100.0,100.0,97.3,9,37,2,1264,0,0,1263,1264,769,769,0,0,495,1
Graham Glasgow,10729,G,DET,19,100.0,0,11,74.9,54.8,82.1,8,35,702,100.0,100.0,96.5,5,46,3,1262,189,75,0,1262,735,735,998,0,527,0
Wyatt Teller,46131,G,CLV,17,100.0,2,8,72.7,67.3,74.0,4,20,712,100.0,100.0,97.3,6,31,7,1254,0,1,0,1254,759,759,1253,0,495,0
Colton McKivitz,29314,T,SF,20,100.0,1,28,65.2,58.3,66.3,6,44,659,100.0,100.0,94.8,2,59,9,1245,0,0,26,1245,696,696,0,1219,549,0
John Simpson,41715,G,BLT,19,100.0,1,3,56.3,59.2,57.2,7,23,677,100.0,100.0,97.6,13,31,1,1242,0,1242,0,1242,720,720,0,0,522,0
Taylor Decker,10650,T,DET,18,99.9,0,11,81.1,79.4,73.9,9,27,688,100.0,99.9,96.2,8,44,8,1242,0,0,1237,1243,719,720,0,0,523,6
Cody Mauch,66637,G,TB,19,100.0,1,30,43.9,52.1,37.6,7,42,730,100.0,100.0,95.5,5,57,8,1236,0,0,0,1236,779,779,1236,0,457,0
Robert Hainsey,59980,C,TB,19,100.0,1,30,50.2,57.3,50.3,2,26,730,100.0,100.0,97.4,9,33,5,1236,1236,0,0,1236,779,779,0,0,457,0
Luke Goedeke,77548,T,TB,19,100.0,3,30,73.4,72.5,70.0,5,33,730,100.0,100.0,96.6,12,44,6,1236,0,0,0,1236,779,779,0,1232,457,4
Tristan Wirfs,64818,T,TB,19,100.0,0,30,83.1,85.5,73.8,6,13,728,100.0,100.0,98.0,6,24,5,1233,0,0,1232,1233,777,777,0,0,456,1
Jake Brendel,11117,C,SF,20,100.0,0,28,66.3,45.3,72.6,5,26,657,100.0,100.0,97.3,1,33,2,1229,1229,0,0,1229,694,694,0,0,535,0
Shaq Mason,9564,G,HST,19,100.0,0,13,65.6,64.7,65.8,1,32,715,100.0,100.0,97.3,8,36,3,1221,0,0,0,1221,767,767,1221,0,454,0
Joe Thuney,10712,G,KC,19,100.0,0,16,74.9,84.5,65.8,6,27,759,100.0,100.0,97.6,2,35,2,1212,1,1186,25,1212,809,809,0,0,403,0
Josh Myers,59992,C,GB,19,100.0,2,12,54.7,55.7,53.2,3,20,685,100.0,100.0,97.6,6,28,5,1212,1212,0,0,1212,724,724,0,0,488,0
Steve Avila,77319,G,LA,18,100.0,0,26,60.5,65.0,56.0,7,25,676,100.0,100.0,97.3,2,34,2,1205,0,1205,0,1205,726,726,0,0,479,0
Jordan Mailata,66916,T,PHI,18,99.7,1,24,84.8,84.5,83.9,2,41,687,99.4,99.4,96.4,9,46,3,1202,0,0,1192,1206,719,723,0,0,483,14
Frank Ragnow,39137,C,DET,18,100.0,0,11,88.8,70.3,91.3,6,16,665,100.0,100.0,98.2,4,23,1,1190,1190,0,0,1190,697,697,0,0,493,0
Coleman Shelton,39316,C,LA,18,100.0,1,26,66.1,49.2,74.6,12,22,664,100.0,100.0,97.1,6,36,2,1171,1171,0,0,1171,712,712,0,0,459,0
Jason Kelce,6343,C,PHI,18,100.0,0,24,78.6,70.9,84.3,1,13,666,100.0,100.0,98.8,6,15,1,1165,1165,0,0,1165,698,698,0,0,467,0
Luke Fortner,42028,C,JAX,17,100.0,0,15,44.3,54.9,40.0,3,21,708,100.0,100.0,97.7,5,28,4,1163,1163,0,0,1163,749,749,0,0,414,0
Zach Tom,55443,T,GB,19,100.0,1,12,79.7,72.3,81.2,2,33,663,100.0,100.0,97.1,3,37,2,1162,4,0,0,1162,700,700,0,1158,462,0
Rashawn Slater,59971,T,LAC,17,100.0,1,27,76.6,84.7,59.5,7,28,719,100.0,100.0,97.1,8,38,3,1154,0,0,1153,1154,762,762,0,0,392,0
Erik McCoy,37347,C,NO,17,100.0,1,20,79.4,59.3,89.4,2,20,651,100.0,100.0,97.7,8,26,4,1152,1152,0,0,1152,675,675,0,0,477,0
Ikem Ekwonu,98286,T,CAR,17,100.0,2,5,67.4,62.3,77.0,9,24,684,100.0,100.0,96.0,12,44,11,1148,0,0,1148,1148,730,730,0,0,418,0
Bradley Bozeman,27934,C,CAR,17,100.0,0,5,62.2,48.9,67.5,5,19,684,100.0,100.0,97.1,5,32,8,1148,1148,0,0,1148,730,730,0,0,418,0
Taylor Moton,11819,T,CAR,17,100.0,0,5,74.6,78.1,65.6,0,40,684,100.0,100.0,96.9,4,41,1,1148,0,0,0,1148,730,730,0,1148,418,0
Jamaree Salyer,81656,G,LAC,17,100.0,0,27,54.2,61.2,49.4,8,25,711,100.0,100.0,96.6,3,41,8,1144,0,0,0,1144,754,754,1144,0,390,0
Quenton Nelson,12954,G,IND,17,100.0,0,14,70.8,80.3,63.4,3,17,643,100.0,100.0,98.3,6,21,1,1141,0,1141,0,1141,686,686,0,0,455,0
Mason Cole,45547,C,PIT,18,100.0,0,25,53.2,32.4,63.3,6,29,608,100.0,100.0,96.8,4,37,2,1135,1135,0,0,1135,649,649,0,0,486,0
