player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,SF,19,331,75,22,34.5,595,1,1727,1,11,75,1110,69.2,48,98,28,4,100,65.8,90.3,73.8,,28.4,86.5,90.3,30.2,72,2,716,86,525,400,0,0,104,417,18,1727,1110,3.35,5.2,1.36,219
Rachaad White,131633,HB,TB,19,299,44,7,13.7,153,0,1117,4,26,44,787,50.1,26,56,30,3,123,70.5,67.5,51.9,,53.5,64.4,68.8,59.6,38,2,588,69,504,337,0,0,78,368,6,1117,787,2.63,3.7,1.17,167
Isiah Pacheco,83747,HB,KC,18,286,47,13,27.0,337,0,1248,1,9,47,828,47.4,28,68,16,3,120,78.0,79.9,51.5,,67.4,69.9,80.2,59.3,48,1,304,56,365,321,0,0,62,342,10,1248,828,2.9,4.4,0.83,158
Derrick Henry,10679,HB,TEN,17,280,57,16,33.0,385,0,1167,2,3,57,930,64.7,23,63,31,0,119,91.4,90.1,85.3,72.2,79.1,70.7,86.8,58.0,69,0,214,28,175,317,0,0,31,308,12,1167,930,3.32,4.2,1.22,160
James Cook,83666,HB,BUF,19,273,43,10,19.2,242,0,1262,7,12,43,733,45.4,35,62,4,4,151,56.2,71.7,90.6,,23.5,53.0,79.1,56.0,42,0,472,52,343,311,0,0,62,325,2,1262,733,2.68,4.6,1.38,111
Travis Etienne Jr.,57185,HB,JAX,17,267,64,10,25.9,261,0,1008,5,24,64,766,77.7,22,53,15,0,158,91.3,77.0,70.1,,52.2,69.3,78.4,77.0,62,1,476,58,404,307,0,0,67,325,11,1008,766,2.87,3.8,1.18,101
Tony Pollard,27126,HB,DAL,18,267,47,11,21.6,229,0,1061,3,5,47,764,45.2,22,60,9,3,122,66.9,77.5,90.8,,70.6,51.4,84.7,62.8,31,0,340,62,439,315,0,0,76,329,7,1061,764,2.86,4.0,0.77,133
Najee Harris,57121,HB,PIT,18,267,53,14,25.9,278,0,1072,2,10,53,808,64.0,25,51,25,2,106,64.3,76.2,87.9,,58.8,58.5,77.2,56.7,25,0,185,31,223,315,0,0,37,298,8,1072,808,3.03,4.0,0.83,148
David Montgomery,45719,HB,DET,17,258,54,10,21.0,252,0,1198,2,6,54,779,64.7,28,71,11,2,125,73.5,79.6,52.7,60.0,29.7,58.4,83.4,60.0,75,2,162,22,209,272,0,0,29,280,15,1198,779,3.02,4.6,0.78,133
Joe Mixon,11803,HB,CIN,17,257,31,8,16.2,168,1,1034,4,17,31,646,39.0,27,59,7,0,149,91.3,71.1,39.2,,29.7,68.8,73.8,59.9,44,2,376,52,373,289,0,0,62,309,9,1034,646,2.51,4.0,1.01,104
Saquon Barkley,45791,HB,NYG,14,247,31,12,31.7,305,0,962,5,6,31,719,37.4,26,51,21,2,93,74.1,70.2,65.5,,76.6,60.6,70.6,56.4,36,1,280,41,306,295,0,0,58,288,6,962,719,2.91,3.9,0.92,148
Kyren Williams,97118,HB,LA,13,241,51,10,21.8,263,0,1205,5,4,51,788,65.6,28,65,26,3,150,62.9,80.4,36.0,,57.7,39.1,90.5,59.1,56,2,215,33,341,262,0,0,48,274,12,1205,788,3.27,5.0,0.63,90
D'Andre Swift,57212,HB,PHI,17,239,45,12,26.9,291,0,1083,1,10,45,582,47.5,23,52,24,3,69,62.0,66.5,65.3,,48.9,53.5,71.6,53.8,43,1,246,43,301,302,0,0,51,282,5,1083,582,2.44,4.5,0.82,165
Chuba Hubbard,57373,HB,CAR,17,238,41,9,18.8,170,0,902,0,8,41,682,50.7,21,59,5,1,101,87.7,77.2,89.1,,61.6,62.1,79.4,45.0,22,0,233,39,295,257,0,0,44,277,5,902,682,2.87,3.8,0.79,136
Devin Singletary,40485,HB,HST,19,238,36,13,25.7,253,0,986,1,4,36,686,41.8,26,44,13,1,111,85.0,75.1,88.3,69.5,34.3,61.2,78.1,79.0,29,0,245,38,329,276,0,0,45,276,5,986,686,2.88,4.1,0.74,120
Josh Jacobs,45953,HB,LV,13,233,28,5,19.9,160,0,805,5,9,28,547,32.2,9,33,23,3,110,61.0,65.0,26.9,60.0,50.9,51.0,70.1,55.3,63,2,296,37,238,271,0,0,52,270,6,805,547,2.35,3.5,1.24,106
Breece Hall,97636,HB,NYJ,17,223,46,11,40.4,402,0,994,4,31,46,761,87.9,20,40,22,2,96,74.4,82.4,89.3,,53.9,88.9,77.8,57.4,83,0,591,76,336,255,0,0,90,299,5,994,761,3.41,4.5,1.76,125
Kenneth Walker III,97199,HB,SEA,15,219,56,10,28.0,252,0,900,2,19,56,637,88.0,24,46,29,1,63,86.0,83.5,24.4,,40.7,71.0,85.3,58.7,45,2,259,29,200,234,0,0,33,248,8,900,637,2.91,4.1,1.3,141
Raheem Mostert,9783,HB,MIA,16,217,54,14,31.5,329,0,1045,2,12,54,728,91.1,30,61,17,4,63,45.6,84.7,59.1,,66.0,48.7,91.3,59.1,49,1,172,26,276,260,0,0,31,243,18,1045,728,3.35,4.8,0.62,148
Javonte Williams,77803,HB,DEN,16,217,34,12,25.5,197,0,774,4,5,34,588,40.0,21,42,10,1,104,83.3,63.3,84.7,,27.8,61.9,64.9,57.6,21,1,228,47,170,264,0,0,55,264,3,774,588,2.71,3.6,1.34,106
Bijan Robinson,123126,HB,ATL,17,214,52,10,24.5,237,0,969,5,17,52,663,78.6,30,51,2,4,63,37.8,69.1,46.5,,56.8,61.5,75.1,35.5,38,2,487,58,421,272,0,0,83,272,4,969,663,3.1,4.5,1.16,146
Jerome Ford,83601,HB,CLV,18,213,43,8,32.0,266,0,830,9,11,43,611,59.3,23,34,8,1,118,82.9,68.3,90.7,,64.8,55.3,71.5,67.1,69,0,334,48,349,237,0,0,64,261,4,830,611,2.87,3.9,0.96,86
Gus Edwards,46027,HB,BLT,19,211,29,9,23.6,205,0,870,0,0,29,583,35.6,16,53,3,3,117,54.3,73.7,88.4,,55.1,54.5,75.4,59.1,42,2,195,14,180,275,0,0,15,225,13,870,583,2.76,4.1,1.08,90
Jahmyr Gibbs,122474,HB,DET,18,211,46,17,37.7,411,0,1089,5,19,46,633,71.2,33,50,11,3,103,61.2,76.3,89.6,,26.8,67.4,80.8,57.0,36,0,410,63,372,247,0,0,83,274,13,1089,633,3.0,5.2,1.1,99
James Conner,11860,HB,ARZ,13,208,60,13,31.5,328,0,1040,0,6,60,818,110.5,31,57,1,0,115,90.8,89.2,88.3,,68.0,69.2,88.4,68.9,44,0,165,27,201,262,0,0,31,235,7,1040,818,3.93,5.0,0.82,89
Tyler Allgeier,83639,HB,ATL,17,186,39,3,10.5,72,0,683,0,4,39,549,62.2,13,41,2,0,51,90.6,82.9,82.8,,90.3,81.0,78.0,43.4,31,0,193,18,108,212,0,0,22,204,4,683,549,2.95,3.7,1.79,131
Ezekiel Elliott,10638,HB,NE,17,184,24,1,2.6,17,0,642,3,10,24,466,36.6,8,32,19,2,104,55.2,67.6,88.0,,37.1,66.3,69.2,55.7,17,0,313,51,247,214,0,0,61,235,3,642,466,2.53,3.5,1.27,69
Zack Moss,40341,HB,IND,14,183,35,7,25.5,202,0,793,5,6,35,514,54.8,19,43,14,0,47,90.6,66.9,90.1,,60.4,43.9,72.8,57.4,56,0,192,27,233,210,0,0,35,210,5,793,514,2.81,4.3,0.82,135
Aaron Jones,11937,HB,GB,13,182,37,8,25.1,220,0,875,6,6,37,610,66.7,21,48,12,2,61,66.0,80.9,88.3,,63.2,56.4,85.7,57.8,53,0,254,34,202,207,0,0,47,216,5,875,610,3.35,4.8,1.26,119
Alvin Kamara,11822,HB,NO,13,180,22,6,13.7,95,0,694,3,13,22,452,34.5,15,43,20,0,58,90.8,74.1,88.0,,19.2,78.4,77.1,55.7,17,0,466,75,269,211,0,0,86,255,5,694,452,2.51,3.9,1.73,118
