player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,17,79.6,612,652,7.7,2.65,8,37,5.3,70.6,460,1,248,5.5,725,27,264,7,56.9,93.9,92.8,74.8,8,9,775,9,19.4,108.5,6.6,48,22,1,23,43,15,1.9,4918,7.5
Patrick Mahomes,11765,QB,KC,18,77.1,580,632,6.9,2.78,10,22,3.3,67.4,426,1,237,4.7,728,21,262,16,76.4,86.0,80.8,86.3,10,11,776,2,17.3,94.4,5.6,41,47,2,30,28,17,2.2,4350,6.9
Jayden Daniels,97993,QB,WAS,20,78.1,548,594,7.7,2.95,15,22,3.5,68.4,406,1,258,5.1,736,22,251,32,75.5,90.6,84.7,90.0,1,10,781,2,19.8,99.7,6.9,51,87,2,28,30,12,1.5,4390,7.4
C.J. Stroud,129759,QB,HST,19,72.2,554,593,8.8,3.01,6,27,4.3,63.6,377,0,274,5.8,703,23,229,13,76.3,79.9,77.5,73.3,10,13,742,5,23.0,87.6,9.0,63,45,1,22,21,21,2.8,4254,7.2
Bo Nix,97790,QB,DEN,18,76.7,545,589,7.9,2.98,16,23,3.7,66.0,389,1,194,6.9,674,29,204,10,91.6,78.3,73.8,81.2,4,12,712,9,13.4,93.3,3.9,26,53,1,23,30,13,1.8,3919,6.7
Baker Mayfield,46518,QB,TB,18,79.2,562,588,7.4,2.78,11,22,3.5,71.8,422,0,168,5.2,680,23,257,30,42.1,85.9,83.6,70.9,6,16,721,3,24.4,108.1,6.0,41,46,1,8,43,24,3.3,4685,8.0
Matthew Stafford,4924,QB,LA,18,73.2,548,588,8.3,2.62,12,26,4.2,65.5,385,0,200,4.0,628,16,205,26,58.5,74.7,73.3,57.0,9,8,667,1,17.5,95.0,5.6,35,4,1,18,24,25,3.7,4295,7.3
Sam Darnold,29048,QB,MIN,18,76.5,532,585,9.3,3.08,8,34,5.4,66.0,386,0,263,5.2,672,21,232,18,56.9,80.7,77.5,82.5,11,13,725,10,21.7,100.8,8.5,57,29,1,33,36,27,3.7,4564,7.8
Aaron Rodgers,2241,QB,NYJ,17,73.7,552,584,7.3,2.65,8,26,4.2,63.0,368,0,178,9.6,643,39,199,22,78.0,77.8,76.3,71.9,6,11,684,9,22.5,90.5,6.2,40,16,0,18,28,12,1.8,3897,6.7
Jared Goff,10635,QB,DET,18,79.0,533,579,7.2,2.68,8,19,3.2,71.3,413,0,208,1.9,630,8,260,11,64.1,78.8,76.3,66.4,5,15,648,2,15.9,108.2,5.2,33,15,6,27,38,21,3.2,4942,8.5
