player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,GB,19,6,4,75.0,0,2,12,1,0,56.3,73.8,70.8,73.8,64.2,58.9,6,30,0,0,15,16.0,4,1,2,91.7,3,9,0,35,0,26,715,678,2,75,518,83,0,37,485,204,2,20,15,1,4,45,0,26,10,8.7
Dwight Freeney,1019,ED,ATL,18,2,0,,1,0,2,0,0,60.0,68.9,69.1,69.4,53.9,47.6,9,49,0,0,,28.6,2,0,3,0.0,0,5,0,0,0,1,538,538,0,7,508,23,0,0,451,86,0,6,3,0,0,63,0,0,0,
James Harrison,1251,ED,PIT,18,16,0,89.5,0,3,25,0,0,73.9,89.6,75.8,85.4,80.5,81.9,7,36,0,1,24,5.7,4,0,1,74.8,17,8,0,116,1,178,758,611,0,0,611,0,0,147,336,244,29,38,50,8,19,51,0,137,64,8.1
Terence Newman,1321,CB,MIN,15,2,0,51.8,0,0,18,0,0,83.0,83.0,86.5,53.9,74.8,71.3,0,0,0,1,24,9.3,4,7,4,62.0,29,0,0,62,592,455,754,11,0,0,11,0,10,743,4,295,79,13,37,3,56,0,1,245,31,8.4
Terrell Suggs,1326,ED,BLT,15,6,3,100.0,2,3,3,0,0,61.2,69.7,33.1,67.9,71.9,61.8,11,26,0,0,1,9.7,3,0,6,79.2,1,8,0,9,0,12,697,688,0,0,680,8,0,9,454,231,0,25,22,6,1,45,0,1,1,1.0
Robert Mathis,1447,ED,IND,14,2,0,100.0,0,3,14,2,1,51.1,54.3,89.2,61.0,41.7,42.1,1,20,0,0,14,20.0,4,0,0,101.0,4,5,0,4,0,29,536,526,0,1,524,1,0,10,346,161,6,13,14,4,4,26,0,33,6,8.3
Cullen Jenkins,1637,DI,WAS,15,1,0,,0,0,32,0,0,57.2,59.9,64.8,63.1,56.8,60.9,1,9,0,0,,6.3,1,0,1,0.0,0,1,0,0,0,2,308,306,61,183,20,42,0,2,190,116,0,12,14,4,0,11,0,0,0,
Larry Fitzgerald,1724,WR,ARZ,1,0,0,,0,0,1,0,0,60.0,60.0,62.9,,,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
DeAngelo Hall,1729,S,WAS,3,0,0,85.7,0,0,32,0,0,53.2,55.4,79.3,54.9,64.9,57.1,0,0,0,0,29,14.3,2,1,0,113.7,6,0,0,40,0,90,166,3,0,0,3,0,109,163,3,73,14,3,12,0,7,0,0,79,48,13.2
Vince Wilfork,1742,DI,HST,17,5,0,,0,0,13,0,0,59.3,59.0,64.5,56.5,60.7,77.0,3,11,0,0,,7.4,2,0,2,0.0,0,0,0,1,0,3,588,587,284,292,0,11,0,1,303,282,0,17,20,3,0,14,0,0,0,
Karlos Dansby,1754,LB,CIN,16,17,1,80.3,2,0,7,1,0,62.2,65.0,63.6,61.7,67.0,70.4,2,5,0,0,44,9.6,11,3,3,113.6,49,0,0,604,5,429,782,95,0,0,95,0,6,687,61,292,72,45,87,10,61,7,2,527,323,10.8
Daryl Smith,1760,LB,TB,16,5,0,91.7,0,0,30,1,0,60.6,57.5,85.2,51.3,56.4,66.4,0,5,0,1,33,9.7,3,0,0,84.0,11,0,0,215,4,169,476,201,0,1,200,0,0,275,65,242,56,12,23,1,12,5,0,158,102,14.4
Antonio Smith,1856,DI,HST,15,1,0,,0,0,13,0,0,60.0,49.4,39.6,59.3,43.8,71.8,4,13,0,0,,16.7,1,0,2,0.0,0,1,0,2,0,1,277,275,102,129,3,41,0,2,219,57,0,3,4,1,0,18,0,0,0,
Mike Adams,1972,S,IND,15,8,0,75.9,0,2,14,2,0,70.1,75.9,89.3,59.5,86.2,77.7,2,0,0,2,34,9.8,8,0,0,88.3,22,0,0,238,18,592,997,31,0,0,31,0,612,966,25,380,96,12,66,1,29,2,2,200,87,9.1
Adam Jones,2223,CB,CIN,16,4,0,67.1,1,1,7,0,0,72.0,71.4,30.3,54.0,73.1,55.3,0,1,0,1,41,15.8,12,5,8,91.6,53,0,0,44,972,672,1058,17,0,0,17,0,0,1041,2,384,25,11,60,0,79,1,3,498,189,9.4
DeMarcus Ware,2228,ED,DEN,10,5,0,100.0,2,0,10,0,0,53.6,64.5,13.0,68.4,66.1,60.3,3,18,0,0,20,15.4,2,0,4,118.8,1,5,0,0,0,10,315,313,0,0,313,0,0,2,210,95,2,6,6,0,1,26,0,20,16,20.0
Thomas Davis Sr.,2231,LB,CAR,16,15,1,79.0,0,2,5,2,1,60.5,66.4,49.9,89.9,60.8,71.6,2,15,0,3,42,9.5,10,0,2,107.5,64,3,0,828,5,579,1008,100,0,0,100,0,9,908,102,327,66,36,80,5,81,20,6,614,399,9.6
Derrick Johnson,2232,LB,KC,13,20,0,78.4,0,0,16,0,0,82.8,70.5,88.7,50.5,51.4,47.5,1,2,1,1,30,17.9,20,3,0,92.0,29,1,0,747,21,487,841,34,0,0,34,0,6,807,37,317,33,41,72,7,37,4,1,245,197,8.4
Jonathan Babineaux,2276,DI,ATL,19,3,1,100.0,0,0,2,0,0,53.0,53.3,73.6,53.9,57.5,27.4,3,17,0,0,10,24.1,7,0,1,108.3,1,1,0,0,0,14,533,533,45,408,13,67,0,0,347,172,0,16,19,4,1,21,0,10,4,10.0
Darren Sproles,2347,HB,PHI,2,0,0,,0,0,24,0,0,,63.6,62.9,,61.7,71.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,
Trent Cole,2363,ED,IND,7,3,1,100.0,0,0,14,0,0,43.2,62.5,85.0,61.3,62.2,32.9,4,11,0,0,8,18.8,3,0,0,100.0,1,2,0,1,0,4,237,235,0,2,232,1,0,2,143,90,1,10,10,1,1,17,0,8,8,8.0
Lorenzo Alexander,2476,ED,BUF,16,9,5,90.9,0,3,4,0,0,58.3,76.0,52.4,77.5,70.0,67.5,13,23,0,1,28,12.1,7,0,4,69.3,10,14,0,142,2,84,788,613,0,0,613,0,0,175,382,322,29,44,42,4,11,50,0,107,79,10.7
Ahmad Brooks,2945,ED,SF,16,12,2,90.0,3,1,28,0,0,63.2,59.6,23.6,56.1,68.2,47.9,3,32,0,0,31,17.9,10,1,8,111.7,9,4,0,37,2,105,918,835,3,0,832,0,0,83,388,425,44,29,34,4,10,39,0,108,74,12.0
Mario Williams,2946,ED,MIA,14,1,1,100.0,0,0,17,0,0,64.2,65.4,90.0,55.4,68.1,44.4,3,17,0,0,0,20.0,3,0,0,79.2,1,2,0,0,0,11,453,453,0,21,419,13,0,0,255,187,0,11,11,4,1,22,0,0,0,0.0
Donte Whitner,2953,S,WAS,11,11,0,78.8,0,1,32,0,0,52.8,57.2,49.2,50.1,70.5,86.1,0,2,0,0,47,6.3,4,0,1,129.8,26,0,0,201,11,347,564,21,0,0,21,0,271,543,9,208,60,9,49,0,33,2,2,340,213,13.1
Haloti Ngata,2957,DI,DET,14,5,3,100.0,0,0,11,0,0,53.5,58.7,63.5,52.8,69.1,45.2,3,12,0,0,12,14.3,3,0,2,147.9,2,2,0,4,0,11,577,573,38,452,6,77,0,4,362,204,0,14,13,0,2,17,1,20,5,10.0
Chad Greenway,2962,LB,MIN,16,10,0,72.0,0,0,18,0,0,41.9,54.8,82.1,56.4,67.0,48.9,0,1,0,1,27,15.9,7,0,0,98.8,18,0,0,331,1,158,399,39,0,0,39,0,1,360,18,223,27,20,27,1,25,1,2,160,117,8.9
Antonio Cromartie,2964,CB,IND,4,0,0,66.7,1,0,14,0,0,52.0,52.7,82.7,,55.6,68.0,0,0,0,0,44,7.1,1,1,5,107.8,14,0,0,9,176,138,204,3,0,0,3,0,1,201,0,66,15,1,13,0,21,0,1,173,78,12.4
Tamba Hali,2965,ED,KC,17,7,0,,2,0,16,1,0,78.0,77.8,50.2,72.7,72.8,85.2,5,36,0,0,,9.7,3,0,3,0.0,0,4,0,5,0,29,599,585,0,1,583,1,0,14,390,180,9,15,21,1,0,45,0,0,0,
