player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Nick Allegretti,39268,G,WAS,20,100.0,1,32,59.4,53.5,62.3,3,39,781,100.0,100.0,96.8,7,46,4,1372,0,1372,0,1372,835,835,0,0,537,0
Sam Cosmi,60114,G,WAS,19,100.0,1,32,67.8,74.3,64.8,5,19,711,100.0,100.0,98.2,10,25,1,1259,0,0,0,1259,762,762,1259,0,497,0
Daniel Faalele,81734,G,BLT,19,100.0,1,3,61.8,63.5,59.8,3,29,594,100.0,100.0,97.1,6,33,1,1240,0,0,0,1240,638,638,1240,0,602,0
Creed Humphrey,59996,C,KC,19,100.0,0,16,92.3,91.0,90.4,2,5,730,100.0,100.0,99.5,1,7,0,1232,1231,1,0,1232,780,780,0,0,452,0
Joe Thuney,10712,G,KC,19,100.0,0,16,80.2,81.4,73.8,8,19,730,100.0,100.0,98.0,1,28,1,1232,1,896,333,1232,780,780,0,0,452,2
Trey Smith,62960,G,KC,19,100.0,2,16,75.3,67.0,77.4,6,25,730,100.0,100.0,97.9,10,31,0,1232,0,0,0,1232,780,780,1232,0,452,0
Tyler Linderbaum,82291,C,BLT,19,100.0,1,3,79.9,64.9,85.3,3,16,594,100.0,100.0,98.4,10,19,0,1227,1227,0,0,1227,638,638,0,0,589,0
Ronnie Stanley,10640,T,BLT,19,100.0,1,3,70.7,80.9,62.2,4,34,590,100.0,100.0,96.4,15,40,2,1221,0,0,1191,1221,634,634,0,0,587,28
O'Cyrus Torrence,102821,G,BUF,19,100.0,1,4,55.5,60.6,53.4,3,42,637,100.0,100.0,96.5,7,45,0,1221,0,0,0,1221,690,690,1215,6,531,0
Cam Jurgens,84014,C,PHI,19,100.0,2,24,67.3,52.0,70.1,2,26,553,100.0,100.0,96.4,6,34,6,1217,1217,0,0,1217,589,589,0,0,628,0
