player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,PHI,19,411,77,32,45.2,1107,0,2447,2,14,77,1409,69.2,54,97,24,2,177,84.9,87.6,71.4,60.0,63.3,63.2,88.0,65.3,78,1,313,40,353,506,0,0,47,451,18,2447,1409,3.43,6.0,0.89,227
Derrick Henry,10679,HB,BLT,19,367,88,30,42.4,930,0,2191,2,7,88,1323,88.7,53,105,3,3,160,73.1,94.2,34.3,,61.2,62.4,93.5,55.5,87,2,193,19,197,442,0,0,23,386,19,2191,1323,3.6,6.0,0.98,205
Kyren Williams,97118,HB,LA,18,351,61,9,13.1,194,0,1481,1,5,61,967,46.7,31,91,26,6,178,47.6,69.1,69.2,,41.0,55.2,74.3,53.8,30,1,197,38,402,400,0,0,42,389,14,1481,967,2.75,4.2,0.49,166
Josh Jacobs,45953,HB,GB,18,319,79,12,22.2,313,0,1410,0,23,79,1113,99.4,34,76,12,5,152,61.8,92.3,63.7,,55.3,89.2,91.3,55.2,38,1,382,39,265,365,0,0,44,358,16,1410,1113,3.49,4.4,1.44,165
Bijan Robinson,123126,HB,ATL,17,304,70,12,17.3,252,1,1456,2,18,70,920,73.0,34,82,2,1,71,91.6,92.8,89.8,,51.6,82.2,92.8,78.8,37,3,431,61,389,336,0,0,70,365,14,1456,920,3.03,4.8,1.11,231
Jonathan Taylor,57488,HB,IND,14,303,36,17,35.6,510,0,1431,3,6,36,813,35.1,31,71,14,4,149,55.7,56.9,63.0,,43.4,36.9,63.9,44.0,70,2,136,18,270,367,0,0,30,321,11,1431,813,2.68,4.7,0.5,154
Joe Mixon,11803,HB,HST,16,288,45,13,28.1,340,0,1210,3,12,45,839,50.8,33,60,13,1,94,87.5,76.6,29.5,54.9,52.4,59.8,78.9,74.5,59,3,334,39,273,311,0,0,53,327,13,1210,839,2.91,4.2,1.22,190
Najee Harris,57121,HB,PIT,18,269,63,11,24.2,256,0,1060,5,17,63,776,74.9,30,52,25,0,76,91.3,77.2,55.6,,56.1,63.4,77.5,65.9,36,1,324,39,233,309,0,0,49,308,6,1060,776,2.88,3.9,1.39,192
Aaron Jones,11937,HB,MIN,18,268,46,9,18.3,217,0,1186,3,6,46,796,48.0,26,50,18,5,103,44.1,75.4,63.1,,51.7,70.6,76.5,40.1,41,1,420,54,347,313,0,0,64,322,5,1186,796,2.97,4.4,1.21,162
Jahmyr Gibbs,122474,HB,DET,18,264,68,27,42.1,638,0,1517,2,11,68,868,80.7,46,76,11,1,85,86.5,90.1,6.4,,23.1,74.8,91.4,72.5,70,4,587,58,347,284,0,0,73,322,18,1517,868,3.29,5.7,1.69,173
James Cook,83666,HB,BUF,19,260,47,14,31.0,397,0,1281,3,3,47,842,54.3,26,64,4,1,125,86.1,86.2,55.9,,59.5,65.1,88.6,30.8,65,1,322,38,258,298,0,0,44,298,19,1281,842,3.24,4.9,1.25,134
Tony Pollard,27126,HB,TEN,16,260,39,13,26.1,282,1,1079,8,4,39,884,48.6,30,53,31,2,151,76.2,68.7,37.1,,54.4,51.6,73.5,74.1,41,2,238,41,301,310,0,0,55,301,5,1079,884,3.4,4.2,0.79,98
D'Andre Swift,57212,HB,CHI,17,253,38,9,25.4,244,0,959,1,7,38,623,37.6,18,43,6,2,126,75.0,61.3,65.2,,28.3,59.5,65.7,35.7,56,4,386,42,353,294,0,0,50,295,6,959,623,2.46,3.8,1.09,111
Chuba Hubbard,57373,HB,CAR,15,250,50,15,28.2,337,0,1195,1,8,50,865,68.5,26,62,5,4,81,52.3,75.9,89.2,,56.9,39.5,87.0,63.3,38,0,171,43,336,275,0,0,52,293,10,1195,865,3.46,4.8,0.51,163
James Conner,11860,HB,ARZ,16,236,68,16,31.0,339,0,1094,2,18,68,779,100.3,34,65,1,4,162,63.2,90.4,88.9,,76.9,67.3,90.6,66.6,53,0,414,47,269,278,0,0,53,283,8,1094,779,3.3,4.6,1.54,70
Rico Dowdle,40693,HB,DAL,16,235,45,9,15.8,170,0,1079,3,8,45,771,63.5,26,53,9,3,69,61.3,73.9,88.8,,62.1,64.9,74.4,54.3,27,0,249,39,283,276,0,0,49,274,2,1079,771,3.28,4.6,0.88,150
Chase Brown,77787,HB,CIN,16,229,46,10,23.7,235,1,990,3,16,46,706,67.5,23,49,7,2,95,73.9,75.7,36.5,,62.3,76.8,73.8,61.1,40,2,360,54,339,249,0,0,63,283,7,990,706,3.08,4.3,1.06,128
Alvin Kamara,11822,HB,NO,14,228,41,10,19.1,181,0,950,7,8,41,629,45.7,25,52,20,1,47,85.3,73.7,87.6,,38.7,64.7,76.6,58.0,24,0,543,68,311,265,0,0,87,296,6,950,629,2.76,4.2,1.75,167
Kareem Hunt,11841,HB,KC,15,225,30,3,6.2,52,0,836,0,8,30,590,39.9,15,50,16,0,79,91.0,74.3,88.7,,56.6,61.8,74.9,60.6,20,0,184,25,238,252,0,0,29,250,9,836,590,2.62,3.7,0.77,139
Bucky Irving,144970,HB,TB,18,224,62,15,34.9,419,0,1199,1,20,62,881,118.1,29,55,30,2,123,72.9,90.8,87.5,,28.9,90.5,90.0,55.2,56,1,398,49,246,257,0,0,52,273,8,1199,881,3.93,5.4,1.62,89
Brian Robinson,57120,HB,WAS,17,223,34,11,27.3,253,0,928,1,8,34,670,51.1,22,54,32,2,100,70.0,72.0,90.7,,46.0,70.9,71.2,57.3,40,1,181,24,237,292,0,0,29,247,10,928,670,3.0,4.2,0.76,116
