,player_id,season_x,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,season_y,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
0,00-0006101,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,83,121,859.0,8,0.0,0.0,964.0,224.0,56.0,50.20375688688364,1,14.524904330139446,2.9672624291264778,3.6030203296797656,6.973007874465552,0.0,135.9,218.9,16,0.1838905775075988,0.21508255243195,0.1050656660412758,0.44790190820695824,0.18883271048582106,0.3076923076923077,0.24669603524229075,0.25296442687747034,0.2482625090890644,0.2126046299271184,1.3054711246200608,0.1475504866672059,2013,ATL,TE,,88,ACT,Tony Gonzalez,Tony,Gonzalez,1976-02-27,77.0,247.0,,1231,382154cf-7cc6-494c-8426-9f78aa4c4b90,,721,237,GonzTo00,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/enbspvy0ahsyznomitre",,17,REG,A01,Tony,GON587645,,3200474f-4e58-7645-6a3b-551f0c43b0ae,1997,1997,KC,13,37.0
1,00-0007091,2013,REG,7,12,130.0,0,1.0,0.0,0.0,0,0,77.0,90.0,6.0,3.8099719973703614,0,6.516590389016018,-0.05993200585989786,2,-2.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009947609257908349,2013,IND,QB,,8,ACT,Matt Hasselbeck,Matthew,Hasselbeck,1975-09-25,76.0,235.0,Boston College,1575,7d8eba61-208d-4d91-86cd-704ad05cb7f4,4416,949,408,HassMa00,1034,36,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",,19,DIV,A01,Matt,HAS536799,23636,32004841-5353-6799-a37b-f4bab15e4312,1998,1998,GB,187,37.0
2,00-0010346,2013,REG,450,659,5477.0,55,10.0,18.0,120.0,5,3,5169.0,2581.0,289.0,263.1860975704832,0,18.066362003132134,3.4307746668628285,32,-31.0,1,5.0,3.0,1.0,-28.80238361240422,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,409.98,409.98,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19995317941064583,2013,DEN,QB,,18,ACT,Peyton Manning,Peyton,Manning,1976-03-24,77.0,230.0,Tennessee,1428,aae6d92e-5f28-43ee-b0dc-522e80e99f76,4256,902,327,MannPe00,7328,294,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",,21,SB,A01,Peyton,MAN515097,23446,32004d41-4e51-5097-63c8-dfd9cac091f8,1998,1998,IND,1,37.0
3,00-0015754,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,21,115.0,0,0.0,0.0,174.0,60.0,8.0,-0.05466551659628749,0,7.779734708916728,0.5002757304279553,0.4620433777808117,1.073843960088501,0.0,11.5,24.5,6,0.09090909090909091,0.08558780127889817,0.08321775312066575,0.2048338773867549,0.0760079312623926,0.0,0.10666666666666667,0.0963855421686747,0.0380039656311963,0.06080634500991408,0.49783549783549785,0.04901764635268697,2013,BLT,WR,,80,RES,Brandon Stokley,Brandon,Stokley,1976-06-23,72.0,194.0,,1858,29c9a73e-f66f-437d-8dce-3cbc76aee835,,1214,498,StokBr00,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u28x9vmd7ca8k2qnakua",,14,REG,A01,Brandon,STO309337,,32005354-4f30-9337-17bc-467ac487a2dc,1999,1999,BLT,105,37.0
4,00-0018956,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,9.0,0,0.0,0.0,-1.0,10.0,1.0,1.2833133155945688,0,0.0,0.029411764705882353,-0.0043859649122807015,0.04104747162022703,0.0,0.9,1.9,1,0.029411764705882353,-0.0043859649122807015,0.07246376811594203,0.04060887512899897,0.0379746835443038,0.0,0.09090909090909091,0.07692307692307693,0.0189873417721519,0.03037974683544304,0.2647058823529412,0.023318605792832594,2013,JAX,C,,63,ACT,Brad Meester,Brad,Meester,1977-03-23,75.0,292.0,,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rixo5b33kqy0mj22fdpa",,17,REG,A01,Brad,MEE705650,,32004d45-4570-5650-9fde-3f0978559238,2000,2000,JAX,60,36.0
5,00-0019596,2013,REG,380,628,4343.0,25,11.0,40.0,256.0,6,2,5304.0,2014.0,225.0,69.39238269031705,2,13.807960406621536,1.555463540646113,32,18.0,0,3.0,1.0,5.0,-10.292454625127856,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,251.52,251.52,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16476692083955666,2013,NE,QB,,12,ACT,Tom Brady,Tom,Brady,1977-08-03,76.0,225.0,Michigan,2330,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228,1350,698,BradTo00,4314,167,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",,20,CON,A01,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000,NE,199,36.0
6,00-0020245,2013,REG,77,141,1215.0,5,3.0,15.0,99.0,3,1,1531.0,571.0,51.0,1.8382312890962558,0,4.904492707838957,0.5591774237028877,36,306.0,2,1.0,1.0,17.0,8.110313826648053,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,101.2,101.2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15285623659487055,2013,PHI,QB,,7,ACT,Michael Vick,Michael,Vick,1980-06-26,72.0,215.0,Virginia Tech,2549,b797d6fa-1520-4b3d-a212-157afd4a3bd0,5448,2193,773,,9447,461,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",,18,WC,A01,Michael,VIC311467,26219,32005649-4331-1467-814d-d41e76f507d4,2001,2001,ATL,1,33.0
7,00-0020337,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,110,745.0,4,0.0,0.0,1219.0,178.0,44.0,24.91491437830426,0,10.475034263309713,3.743449239234338,4.719369260684245,8.918732341330479,0.0,98.5,162.5,15,0.24663677130044842,0.30429355966050925,0.11922304085733422,0.61339000467908,0.2306501547987616,0.18181818181818182,0.2682926829268293,0.25806451612903225,0.20623416830847172,0.22088376020264566,1.6704035874439462,0.13605157401205625,2013,CAR,WR,,89,ACT,Steve Smith,Stevonne,Smith,1979-05-12,69.0,185.0,Utah,2622,a69419b7-3cdc-48b9-b3a3-c50f2bf4e6f1,5521,2263,837,SmitSt01,4358,169,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",,19,DIV,A01,Steve,SMI733120,26294,3200534d-4973-3120-1f76-7eb0862a9e02,2001,2001,CAR,74,34.0
8,00-0020494,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,25.0,0,0.0,0.0,1.0,1.172079466166906,0,42,78,452.0,2,1.0,1.0,641.0,182.0,28.0,-12.320109463862062,0,16.43149217664092,1.9999324784189885,1.8650212238769215,4.305413574342328,0.0,57.7,99.7,16,0.1276595744680851,0.12345916795069338,0.09875203472599023,0.29025669606268234,0.1114123736751294,0.1,0.1414141414141414,0.13761467889908258,0.1057061868375647,0.10912989894010354,0.7397708674304418,0.07312708122460355,2013,WAS,WR,,89,ACT,Santana Moss,Santana,Moss,1979-06-01,70.0,189.0,,2564,8cef3644-bd81-4645-b5d0-0a15ea8d6548,,2207,786,MossSa00,1944,69,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tbjwt4mvnoev73qqfxcz",,17,REG,A01,Santana,MOS717844,,32004d4f-5371-7844-7092-ee2ca43b1c25,2001,2001,NYJ,16,34.0
9,00-0020498,2013,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,5.0,0,0.0,0.0,0.0,0.19809722201898694,0,38,58,503.0,2,0.0,0.0,600.0,158.0,28.0,22.369469306814715,1,6.47271276080581,1.8508487259053836,2.038645788213141,4.203325140607274,0.0,64.80000000000001,102.80000000000001,7,0.2555066079295154,0.2786809103576405,0.23269513991163476,0.6062046401803856,0.3122284295468653,0.2,0.35,0.3333333333333333,0.25611421477343266,0.28978274363749223,2.2158590308370045,0.17075277390206633,2013,IND,WR,,87,RES,Reggie Wayne,Reggie,Wayne,1978-11-17,72.0,200.0,,2578,94fc7e6c-8c37-4713-abef-68154ac41d06,5477,2221,800,WaynRe00,5002,194,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcs1zrjpz03nualfwfts",,7,REG,A01,Reggie,WAY456953,,32005741-5945-6953-cf32-fadc99f21889,2001,2001,IND,30,34.0
