RK,TEAM,"TOTAL DVOA","LAST YEAR","WEI. DVOA",RK,W-L,"OFF. DVOA","OFF. RK","DEF. DVOA","DEF. RK","S.T. DVOA","S.T. RK"
1,DAL,30.90%,23,34.80%,1,12-5,13.40%,6,-15.20%,2,2.20%,6
2,BUF,27.70%,4,26.20%,3,11-6,9.70%,10,-18.10%,1,-0.10%,19
3,TB,27.60%,2,25.80%,4,13-4,26.70%,1,-3.50%,9,-2.50%,27
4,NE,23.30%,22,31.20%,2,10-7,10.50%,9,-12.80%,4,0.00%,18
5,LAR,21.60%,9,21.20%,7,12-5,10.60%,8,-8.30%,5,2.70%,4
6,SF,19.50%,11,24.80%,5,10-7,14.90%,5,-7.00%,7,-2.40%,26
7,KC,17.50%,6,24.30%,6,12-5,18.10%,3,4.50%,24,3.90%,3
8,SEA,11.80%,5,14.70%,9,7-10,12.60%,7,3.30%,21,2.50%,5
9,GB,11.50%,3,15.10%,8,13-4,20.20%,2,3.60%,22,-5.20%,32
10,ARI,10.90%,13,0.80%,16,11-6,3.10%,15,-8.30%,6,-0.50%,20
11,IND,9.80%,10,13.10%,10,9-8,4.40%,13,-5.00%,8,0.40%,14
12,LAC,8.50%,26,10.90%,11,9-8,15.90%,4,4.80%,26,-2.60%,28
13,CLE,4.70%,18,0.00%,17,8-9,4.20%,14,-2.50%,11,-2.00%,25
14,NO,4.40%,1,-0.50%,19,9-8,-10.80%,23,-15.00%,3,0.30%,16
15,PHI,3.80%,28,3.30%,12,9-8,8.20%,11,4.70%,25,0.30%,15
16,MIN,2.70%,20,-0.10%,18,8-9,2.60%,16,0.30%,16,0.40%,13
17,CIN,0.00%,30,1.80%,14,10-7,1.20%,18,2.90%,19,1.70%,8
18,DEN,-1.70%,29,1.40%,15,7-10,5.50%,12,3.00%,20,-4.20%,30
19,BAL,-2.10%,7,-10.40%,24,8-9,2.00%,17,9.30%,28,5.30%,1
20,TEN,-3.00%,14,2.20%,13,12-5,-4.20%,20,-2.30%,12,-1.10%,22
21,LV,-5.20%,19,-2.40%,20,10-7,-3.40%,19,0.80%,17,-1.00%,21
22,WAS,-10.00%,16,-9.20%,23,7-10,-5.30%,21,5.80%,27,1.10%,12
23,CHI,-10.00%,15,-5.90%,22,6-11,-13.20%,26,-0.90%,13,2.20%,7
24,PIT,-10.40%,8,-12.50%,26,9-7-1,-11.20%,25,-0.60%,14,0.20%,17
25,MIA,-11.10%,12,-5.90%,21,9-8,-11.00%,24,-2.90%,10,-3.10%,29
26,NYJ,-18.30%,32,-11.00%,25,4-13,-8.30%,22,14.40%,32,4.40%,2
27,CAR,-24.10%,21,-35.20%,31,5-12,-22.70%,31,-0.20%,15,-1.70%,24
28,HOU,-24.20%,24,-20.90%,28,4-13,-22.00%,30,3.60%,23,1.40%,9
29,DET,-27.10%,27,-27.50%,29,3-13-1,-17.70%,29,10.80%,29,1.40%,10
30,ATL,-29.60%,17,-19.60%,27,7-10,-17.10%,28,11.30%,30,-1.20%,23
31,NYG,-29.60%,25,-39.30%,32,4-13,-28.20%,32,2.80%,18,1.40%,11
32,JAX,-31.30%,31,-31.10%,30,3-14,-15.10%,27,11.80%,31,-4.4.%,31
