,TEAM,TOTAL DVOA,win-loss-pct,Net EPA
0,Bills,35.00%,0.8125,0.156
1,49ers,27.60%,0.7647058823529411,0.196
2,Eagles,25.20%,0.8235294117647058,0.163
3,Chiefs,23.00%,0.8235294117647058,0.18
4,Bengals,18.10%,0.75,0.124
5,Cowboys,18.00%,0.7058823529411765,0.118
6,Ravens,17.90%,0.5882352941176471,0.006
7,Dolphins,8.10%,0.5294117647058824,0.032
8,Lions,7.70%,0.5294117647058824,-0.011
9,Seahawks,5.80%,0.5294117647058824,-0.019
10,Browns,5.20%,0.4117647058823529,-0.016
11,Packers,3.60%,0.47058823529411764,-0.014
12,Jaguars,3.30%,0.5294117647058824,0.065
13,Steelers,0.90%,0.5294117647058824,-0.009
14,Patriots,-0.30%,0.47058823529411764,0.038
15,Jets,-0.50%,0.4117647058823529,-0.041
16,Buccaneers,-0.70%,0.47058823529411764,-0.004
17,Chargers,-0.80%,0.5882352941176471,-0.005
18,Saints,-1.70%,0.4117647058823529,-0.002
19,Falcons,-2.80%,0.4117647058823529,-0.061
20,Giants,-4.30%,0.5294117647058824,-0.013
21,Commanders,-4.90%,0.47058823529411764,-0.007
22,Titans,-9.40%,0.4117647058823529,-0.081
23,Rams,-11.00%,0.29411764705882354,-0.098
24,Broncos,-11.30%,0.29411764705882354,-0.036
25,Raiders,-11.50%,0.35294117647058826,-0.059
26,Vikings,-13.80%,0.7647058823529411,-0.001
27,Panthers,-13.90%,0.4117647058823529,-0.046
28,Cardinals,-22.40%,0.23529411764705882,-0.094
29,Bears,-26.60%,0.17647058823529413,-0.162
30,Texans,-26.70%,0.17647058823529413,-0.177
31,Colts,-32.80%,0.23529411764705882,-0.136
