player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
CeeDee Lamb,61570,WR,DAL,18,10.4,20,73.1,36.7,11,30,0,4.0,6,87,9,3,89.3,50.6,90.9,,91.2,0.3,2,2,92,0.0,0,742,6,144,93.3,692,58.6,435,118.4,197,12,40.3,299,1859,709,4.9,12.9,2.69
Amon-Ra St. Brown,84470,WR,DET,19,8.0,21,74.2,51.7,15,29,0,3.4,5,93,11,1,88.5,67.4,91.2,39.2,91.3,0.0,0,3,70,0.6,4,725,1,141,95.3,691,55.3,401,115.9,190,11,43.6,316,1789,802,5.7,12.7,2.59
Stefon Diggs,9579,WR,BUF,19,10.6,21,66.9,41.9,13,31,0,6.4,8,63,4,3,77.7,39.4,79.1,,79.0,0.0,0,4,55,0.0,0,704,3,117,94.5,665,35.7,251,93.4,175,8,63.1,444,1256,460,3.9,10.7,1.89
Tyreek Hill,10799,WR,MIA,17,11.3,28,70.9,30.4,7,23,0,7.5,10,84,17,1,63.6,64.4,93.4,,93.8,1.0,5,5,78,0.0,0,521,3,124,96.0,500,37.4,195,120.2,175,14,60.5,315,1861,689,5.6,15.0,3.72
Davante Adams,8688,WR,LV,17,11.1,8,60.2,35.3,12,34,0,8.0,9,59,23,0,67.6,83.6,79.1,,80.0,0.0,0,6,46,0.0,0,605,1,103,96.2,582,16.9,102,81.1,171,8,82.0,496,1144,337,3.3,11.1,1.97
Garrett Wilson,97405,WR,NYJ,17,10.6,19,58.3,29.7,11,37,1,5.9,6,47,22,2,64.1,32.1,72.9,,73.5,0.0,0,6,68,0.0,0,712,5,95,94.7,674,31.2,222,68.1,163,3,68.8,490,1042,319,3.4,11.0,1.55
Puka Nacua,100632,WR,LA,18,9.4,16,69.9,50.0,15,30,0,10.2,13,74,26,1,51.7,44.2,90.2,72.0,89.3,0.0,0,3,80,1.4,9,659,5,114,92.1,607,30.3,200,109.6,163,7,69.5,458,1667,731,6.4,14.6,2.75
Travis Kelce,7844,TE,KC,19,7.0,20,80.6,41.2,7,17,3,6.0,8,69,16,1,76.7,63.6,82.6,77.9,87.8,26.0,189,3,53,3.2,23,726,10,125,91.2,662,50.0,363,111.8,155,8,23.0,167,1339,621,5.0,10.7,2.02
A.J. Brown,48327,WR,PHI,17,12.3,19,69.7,45.2,14,31,0,3.6,4,70,24,2,88.3,35.4,90.0,80.3,90.4,0.2,1,4,59,0.5,3,607,2,106,95.1,577,23.9,145,104.5,152,7,75.8,460,1456,484,4.6,13.7,2.52
Michael Pittman Jr.,29049,WR,IND,16,8.1,5,72.7,53.6,15,28,0,4.4,5,53,14,1,89.2,60.4,77.7,75.1,80.0,2.0,12,6,75,0.5,3,606,8,109,93.2,565,25.6,155,86.9,150,4,72.4,439,1152,518,4.8,10.6,2.04
Mike Evans,8642,WR,TB,19,15.1,6,61.6,54.5,18,33,0,8.2,8,61,30,0,62.4,82.9,81.5,,83.0,0.0,0,4,75,0.0,0,663,4,90,93.8,622,29.4,195,115.4,146,14,70.6,468,1450,371,4.1,16.1,2.33
Keenan Allen,7857,WR,LAC,13,9.9,7,74.5,50.0,10,20,0,5.3,6,56,27,2,79.0,35.7,86.3,77.5,87.4,0.0,0,2,42,0.5,3,561,1,108,93.9,527,59.0,331,110.2,145,7,40.3,226,1243,395,3.7,11.5,2.36
Sam LaPorta,101690,TE,DET,20,7.2,13,74.3,63.6,14,22,0,6.1,7,59,11,0,74.6,84.3,77.0,59.9,81.8,47.0,324,3,48,9.1,63,689,1,107,87.2,601,25.7,177,111.6,144,11,26.4,182,1065,449,4.2,10.0,1.77
Ja'Marr Chase,84270,WR,CIN,16,9.1,17,71.4,44.0,11,25,1,3.8,4,63,7,1,85.7,58.8,85.3,,86.7,0.0,0,2,76,0.0,0,631,2,100,95.1,600,23.5,148,108.5,140,7,75.9,479,1216,553,5.5,12.2,2.03
Evan Engram,11778,TE,JAX,17,5.0,16,81.4,66.7,8,12,0,5.0,6,47,15,3,81.0,27.2,71.6,61.8,73.2,25.7,174,3,34,3.2,22,678,3,114,91.0,617,54.1,367,95.9,140,4,19.8,134,963,528,4.6,8.4,1.56
Chris Olave,84355,WR,NO,16,13.9,4,63.0,40.0,10,25,0,6.5,6,57,20,0,71.2,82.7,82.5,,82.9,0.0,0,3,51,0.0,0,562,1,87,96.4,542,39.3,221,91.5,138,5,59.8,336,1123,355,4.1,12.9,2.07
Adam Thielen,8288,WR,CAR,17,8.0,3,75.7,50.0,6,12,0,3.7,4,56,5,2,86.7,33.0,72.7,46.5,75.3,0.0,0,1,32,0.7,5,683,5,103,93.3,637,69.1,472,103.0,136,4,30.0,205,1014,350,3.4,9.8,1.59
Chris Godwin,11839,WR,TB,19,10.3,6,67.4,59.3,16,27,1,4.2,4,57,30,0,83.9,83.5,77.5,73.3,77.9,0.9,6,3,47,0.3,2,687,1,91,93.2,640,37.4,257,90.6,135,3,61.6,423,1109,413,4.5,12.2,1.73
DeAndre Hopkins,7808,WR,TEN,17,14.8,6,56.4,22.7,5,22,0,5.1,4,48,31,0,77.4,82.1,81.0,62.3,82.3,0.0,0,6,61,0.2,1,543,4,75,93.0,505,20.3,110,80.9,133,7,79.0,429,1057,238,3.2,14.1,2.09
Calvin Ridley,48262,WR,JAX,17,13.9,4,57.6,36.4,8,22,0,8.4,7,49,15,1,62.1,54.8,71.4,,72.2,0.0,0,4,59,0.0,0,688,3,76,94.0,647,18.6,128,89.7,132,8,81.4,560,1016,202,2.7,13.4,1.57
