player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Julio Jones,6158,WR,ATL,18,13.9,13,63.1,34.7,17,49,1,8.6,10,79,2,0,58.0,84.1,91.8,,91.5,0.0,0,3,53,0.0,0,562,2,106,95.9,539,22.2,125,95.8,168,4,77.6,436,1639,549,5.2,15.5,3.04
Antonio Brown,5718,WR,PIT,15,14.4,12,65.1,53.3,24,45,0,4.4,5,74,25,3,79.7,28.7,91.3,,91.3,0.2,1,6,57,0.0,0,627,6,108,93.5,586,12.4,78,105.1,166,11,87.4,548,1665,502,4.6,15.4,2.84
DeAndre Hopkins,7808,WR,HST,15,14.0,4,58.5,31.3,15,48,1,5.0,5,69,13,1,80.4,57.1,90.2,,90.3,0.0,0,6,72,0.0,0,631,6,96,91.3,576,15.7,99,97.1,164,13,84.0,530,1378,346,3.6,14.4,2.39
Michael Thomas,10681,WR,NO,18,10.1,17,73.9,55.3,21,38,2,2.5,3,82,20,0,90.7,84.7,91.4,,91.6,0.0,0,4,46,0.0,0,621,4,119,95.7,594,24.8,154,105.6,161,7,75.2,467,1461,515,4.3,12.3,2.46
Jarvis Landry,8698,WR,MIA,16,6.3,17,71.8,48.3,14,29,2,5.9,7,59,17,3,76.6,29.0,79.5,62.2,80.2,0.6,4,4,49,0.2,1,629,7,112,95.4,600,65.2,410,96.8,156,9,33.5,211,987,523,4.7,8.8,1.65
Larry Fitzgerald,1724,WR,ARZ,16,8.5,9,71.2,45.0,18,40,1,3.5,4,66,1,1,90.4,60.3,80.0,74.5,78.8,1.3,9,1,37,0.4,3,702,2,109,92.6,650,61.8,434,103.3,153,6,36.6,257,1156,418,3.8,10.6,1.78
Adam Thielen,8288,WR,MIN,18,11.1,8,65.8,47.4,18,38,0,4.8,5,63,18,3,76.9,27.4,82.4,66.8,80.1,0.7,5,3,65,0.3,2,694,4,100,92.4,641,48.7,338,95.2,152,4,50.4,350,1378,436,4.4,13.8,2.15
Keenan Allen,7857,WR,LAC,16,9.9,13,69.4,50.0,14,28,2,9.7,11,74,27,1,54.2,58.7,89.3,67.4,89.7,0.3,2,2,51,0.3,2,583,7,102,93.8,547,49.2,287,107.3,147,6,49.7,290,1393,523,5.1,13.7,2.55
Demaryius Thomas,5547,WR,DEN,16,10.5,9,61.0,58.6,17,29,0,10.8,10,53,10,1,45.0,53.1,74.1,,73.0,0.2,1,9,40,0.0,0,584,3,83,93.5,546,18.2,106,66.7,136,5,81.3,475,949,291,3.5,11.4,1.74
A.J. Green,6156,WR,CIN,16,14.3,8,56.0,43.2,19,44,0,6.3,5,55,7,2,71.7,27.8,82.2,,82.7,0.0,0,7,77,0.0,0,543,5,75,95.2,517,13.6,74,80.4,134,8,86.2,468,1078,292,3.9,14.4,2.09
Mike Evans,8642,WR,TB,15,14.6,2,53.8,42.6,23,54,2,5.3,4,55,30,1,77.0,81.7,79.3,,78.7,0.0,0,5,42,0.0,0,628,6,71,94.1,591,21.0,132,75.3,132,5,79.0,496,1001,108,1.5,14.1,1.69
Alshon Jeffery,7048,WR,PHI,19,14.9,4,52.7,42.6,23,54,2,4.2,3,55,24,0,81.8,81.5,77.3,,77.7,0.0,0,2,53,0.0,0,691,7,69,94.2,651,15.2,105,102.2,131,12,84.8,586,1008,247,3.6,14.6,1.55
Brandin Cooks,8655,WR,NE,19,16.2,6,59.1,29.0,9,31,1,9.6,8,51,19,0,60.6,83.0,70.7,62.2,71.5,0.0,0,2,64,0.1,1,771,6,75,92.5,713,17.9,138,103.7,127,7,82.1,633,1237,268,3.6,16.5,1.73
Rob Gronkowski,5567,TE,NE,17,12.2,9,67.5,58.1,25,43,1,6.6,6,71,19,1,61.9,54.4,90.5,70.3,90.7,34.3,229,1,53,11.8,79,668,10,85,82.2,549,48.1,321,127.1,126,11,17.5,117,1302,414,4.9,15.3,2.37
Dez Bryant,5549,WR,DAL,16,12.2,14,54.8,35.0,14,40,0,14.8,12,44,9,1,28.9,48.1,72.7,,71.8,0.0,0,5,50,0.0,0,568,1,69,91.2,518,21.8,124,74.8,126,6,78.2,444,838,290,4.2,12.1,1.62
Zach Ertz,7816,TE,PHI,17,8.1,3,74.8,58.3,14,24,0,4.2,4,58,24,1,83.1,29.7,80.6,66.1,88.2,42.3,243,2,53,8.5,49,574,6,92,85.9,493,40.6,233,116.4,123,9,16.7,96,1016,334,3.6,11.0,2.06
Travis Kelce,7844,TE,KC,16,9.6,16,71.9,40.0,6,15,0,7.4,7,58,16,0,66.1,83.0,83.3,51.2,87.1,29.5,174,3,44,5.9,35,590,5,87,89.5,528,45.9,271,114.5,121,9,23.4,138,1104,441,5.1,12.7,2.09
