player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Creed Humphrey,97.14,92.3,97.86,1232.0,Chiefs,Chiefs,1,Elite,1,C,Center,2024
Erik McCoy,91.84,84.87,95.52,293.0,Saints,Saints,2,Elite,2,C,Center,2024
Frank Ragnow,90.72,86.1,91.14,1129.0,Lions,Lions,3,Elite,3,C,Center,2024
Tyler Linderbaum,85.89,79.9,88.2,1227.0,Ravens,Ravens,4,Elite,4,C,Center,2024
Zach Frazier,84.1,77.9,86.7,1021.0,Steelers,Steelers,5,Elite,5,C,Center,2024
Drew Dalman,82.02,75.98,84.42,554.0,Falcons,Falcons,6,Elite,6,C,Center,2024
Hjalte Froholdt,81.8,76.1,83.72,1078.0,Cardinals,Cardinals,7,Elite,7,C,Center,2024
Aaron Brewer,80.12,73.3,83.59,1139.0,Dolphins,Dolphins,8,Elite,8,C,Center,2024
Joe Tippmann,79.79,73.4,82.67,1067.0,Jets,Jets,9,Good,1,C,Center,2024
Connor McGovern,76.3,69.5,79.75,1164.0,Bills,Bills,10,Good,2,C,Center,2024
Coleman Shelton,73.9,66.4,78.31,1121.0,Bears,Bears,11,Starter,1,C,Center,2024
Ryan Kelly,73.45,66.08,77.68,601.0,Colts,Colts,12,Starter,2,C,Center,2024
Cam Jurgens,73.21,67.3,75.43,1217.0,Eagles,Eagles,13,Starter,3,C,Center,2024
Jake Brendel,73.09,65.0,78.31,1072.0,49ers,49ers,14,Starter,4,C,Center,2024
Cooper Beebe,72.85,65.4,77.19,1059.0,Cowboys,Cowboys,15,Starter,5,C,Center,2024
Luke Wattenberg,72.39,64.03,77.98,864.0,Broncos,Broncos,16,Starter,6,C,Center,2024
Tyler Biadasz,71.6,64.2,75.87,1166.0,Commanders,Commanders,17,Starter,7,C,Center,2024
Ethan Pocic,71.43,63.6,76.3,1073.0,Browns,Browns,18,Starter,8,C,Center,2024
Alex Forsyth,71.17,63.54,75.75,292.0,Broncos,Broncos,19,Starter,9,C,Center,2024
Ted Karras,71.05,64.1,74.69,1136.0,Bengals,Bengals,20,Starter,10,C,Center,2024
Olusegun Oluwatimi,70.94,62.79,76.25,435.0,Seahawks,Seahawks,21,Starter,11,C,Center,2024
Brady Christensen,70.86,62.29,76.75,399.0,Panthers,Panthers,22,Starter,12,C,Center,2024
Garrett Bradbury,70.81,62.8,75.91,1191.0,Vikings,Vikings,23,Starter,13,C,Center,2024
Jarrett Patterson,70.58,63.43,74.5,688.0,Texans,Texans,24,Starter,14,C,Center,2024
Juice Scruggs,70.51,62.94,75.0,944.0,Texans,Texans,25,Starter,15,C,Center,2024
Danny Pinter,70.33,63.44,73.9,138.0,Colts,Colts,26,Starter,16,C,Center,2024
Austin Corbett,70.1,61.58,75.91,291.0,Panthers,Panthers,27,Starter,17,C,Center,2024
John Michael Schmitz Jr.,69.33,61.4,74.34,983.0,Giants,Giants,28,Starter,18,C,Center,2024
Bradley Bozeman,68.99,61.2,73.8,1112.0,Chargers,Chargers,29,Starter,19,C,Center,2024
Ryan Neuzil,68.12,58.85,74.97,578.0,Falcons,Falcons,30,Starter,20,C,Center,2024
David Andrews,67.24,59.13,72.48,193.0,Patriots,Patriots,31,Starter,21,C,Center,2024
Mitch Morse,66.15,57.3,72.41,1021.0,Jaguars,Jaguars,32,Starter,22,C,Center,2024
Corey Levin,65.68,58.2,70.05,133.0,Titans,Titans,33,Starter,23,C,Center,2024
Beaux Limmer,65.56,55.5,73.5,1040.0,Rams,Rams,34,Starter,24,C,Center,2024
Daniel Brunskill,64.88,56.08,71.09,684.0,Titans,Titans,35,Starter,25,C,Center,2024
Graham Barton,64.82,55.6,71.6,1111.0,Buccaneers,Buccaneers,36,Starter,26,C,Center,2024
Lloyd Cushenberry III,64.48,56.2,69.97,499.0,Titans,Titans,37,Starter,27,C,Center,2024
Sedrick Van Pran-Granger,64.11,57.84,66.81,125.0,Bills,Bills,38,Starter,28,C,Center,2024
Andre James,64.09,56.01,69.3,702.0,Raiders,Raiders,39,Starter,29,C,Center,2024
Ryan McCollum,63.07,56.12,66.72,153.0,Steelers,Steelers,40,Starter,30,C,Center,2024
Josh Myers,62.58,54.2,68.2,1067.0,Packers,Packers,41,Starter,31,C,Center,2024
Shane Lemieux,61.85,54.79,65.64,337.0,Saints,Saints,42,Rotation/backup,1,C,Center,2024
Pat Surtain II,89.13,85.1,88.51,1054.0,Broncos,Broncos,1,Elite,1,CB,Cornerback,2024
Derek Stingley Jr.,86.33,84.4,86.79,1119.0,Texans,Texans,2,Elite,2,CB,Cornerback,2024
Quinyon Mitchell,83.64,79.0,83.76,1104.0,Eagles,Eagles,3,Elite,3,CB,Cornerback,2024
Garrett Williams,83.48,83.02,83.21,778.0,Cardinals,Cardinals,4,Elite,4,CB,Cornerback,2024
Marlon Humphrey,83.29,81.0,82.89,1000.0,Ravens,Ravens,5,Elite,5,CB,Cornerback,2024
Trent McDuffie,83.12,80.7,82.1,1132.0,Chiefs,Chiefs,6,Elite,6,CB,Cornerback,2024
Christian Benford,82.98,78.6,85.26,1046.0,Bills,Bills,7,Elite,7,CB,Cornerback,2024
Kamari Lassiter,81.03,77.5,81.11,906.0,Texans,Texans,8,Elite,8,CB,Cornerback,2024
Cooper DeJean,80.96,79.0,77.81,830.0,Eagles,Eagles,9,Elite,9,CB,Cornerback,2024
Jourdan Lewis,79.89,79.0,78.95,871.0,Cowboys,Cowboys,10,Good,1,CB,Cornerback,2024
Christian Gonzalez,79.26,78.2,82.2,978.0,Patriots,Patriots,11,Good,2,CB,Cornerback,2024
Darius Slay,79.25,74.2,81.45,897.0,Eagles,Eagles,12,Good,3,CB,Cornerback,2024
Sauce Gardner,78.74,73.1,81.76,879.0,Jets,Jets,13,Good,4,CB,Cornerback,2024
Jamel Dean,78.33,74.94,80.83,745.0,Buccaneers,Buccaneers,14,Good,5,CB,Cornerback,2024
Renardo Green,78.31,72.93,80.65,675.0,49ers,49ers,15,Good,6,CB,Cornerback,2024
Jaylon Johnson,78.06,74.2,79.98,1031.0,Bears,Bears,16,Good,7,CB,Cornerback,2024
Tarheeb Still,77.56,74.8,78.01,826.0,Chargers,Chargers,17,Good,8,CB,Cornerback,2024
Kyler Gordon,77.02,74.99,77.62,724.0,Bears,Bears,18,Good,9,CB,Cornerback,2024
Jalen Ramsey,76.2,71.9,78.26,1027.0,Dolphins,Dolphins,19,Good,10,CB,Cornerback,2024
Jaire Alexander,75.96,74.58,82.02,361.0,Packers,Packers,20,Good,11,CB,Cornerback,2024
Byron Murphy Jr.,75.8,73.5,76.32,1109.0,Vikings,Vikings,21,Good,12,CB,Cornerback,2024
Carlton Davis III,75.44,71.51,79.54,697.0,Lions,Lions,22,Good,13,CB,Cornerback,2024
Nate Wiggins,74.99,68.69,77.14,769.0,Ravens,Ravens,23,Good,14,CB,Cornerback,2024
Deommodore Lenoir,74.93,71.7,74.89,922.0,49ers,49ers,24,Good,15,CB,Cornerback,2024
D.J. Reed,74.87,70.1,77.89,880.0,Jets,Jets,25,Good,16,CB,Cornerback,2024
Mike Jackson,74.63,68.1,77.84,1204.0,Panthers,Panthers,26,Good,17,CB,Cornerback,2024
A.J. Terrell,74.5,69.5,75.84,1085.0,Falcons,Falcons,27,Good,18,CB,Cornerback,2024
Samuel Womack III,74.31,70.21,81.22,673.0,Colts,Colts,28,Good,19,CB,Cornerback,2024
Denzel Ward,74.27,68.68,78.16,757.0,Browns,Browns,29,Good,20,CB,Cornerback,2024
Devon Witherspoon,74.15,69.2,76.11,1103.0,Seahawks,Seahawks,30,Good,21,CB,Cornerback,2024
Andru Phillips,73.93,73.63,72.66,614.0,Giants,Giants,31,Starter,1,CB,Cornerback,2024
Mike Hilton,73.77,68.22,76.45,737.0,Bengals,Bengals,32,Starter,2,CB,Cornerback,2024
Carrington Valentine,73.6,69.77,75.17,606.0,Packers,Packers,33,Starter,3,CB,Cornerback,2024
Jaylon Jones,73.44,67.9,75.63,1146.0,Colts,Colts,34,Starter,4,CB,Cornerback,2024
DaRon Bland,73.41,69.53,80.18,436.0,Cowboys,Cowboys,35,Starter,5,CB,Cornerback,2024
Terell Smith,73.32,68.26,82.61,207.0,Bears,Bears,36,Starter,6,CB,Cornerback,2024
Tariq Woolen,73.27,65.7,78.65,889.0,Seahawks,Seahawks,37,Starter,7,CB,Cornerback,2024
Mike Hughes,73.26,70.95,74.06,720.0,Falcons,Falcons,38,Starter,8,CB,Cornerback,2024
Jaylen Watson,72.77,69.78,77.0,433.0,Chiefs,Chiefs,39,Starter,9,CB,Cornerback,2024
Clark Phillips III,72.47,69.93,75.74,409.0,Falcons,Falcons,40,Starter,10,CB,Cornerback,2024
Mike Sainristil,72.05,64.5,75.73,1158.0,Commanders,Commanders,41,Starter,11,CB,Cornerback,2024
Isaiah Rodgers,71.96,67.01,74.67,413.0,Eagles,Eagles,42,Starter,12,CB,Cornerback,2024
DJ Turner II,71.68,66.59,77.25,508.0,Bengals,Bengals,43,Starter,13,CB,Cornerback,2024
Kenny Moore II,71.67,68.2,73.35,1013.0,Colts,Colts,44,Starter,14,CB,Cornerback,2024
Zyon McCollum,71.43,66.1,74.47,1123.0,Buccaneers,Buccaneers,45,Starter,15,CB,Cornerback,2024
Kader Kohou,71.32,68.24,71.36,708.0,Dolphins,Dolphins,46,Starter,16,CB,Cornerback,2024
Joshua Williams,71.06,65.86,76.16,411.0,Chiefs,Chiefs,47,Starter,17,CB,Cornerback,2024
Kristian Fulton,70.75,66.6,74.85,827.0,Chargers,Chargers,48,Starter,18,CB,Cornerback,2024
Kelee Ringo,70.49,63.84,80.41,127.0,Eagles,Eagles,49,Starter,19,CB,Cornerback,2024
Cam Taylor-Britt,70.35,64.3,76.0,1036.0,Bengals,Bengals,50,Starter,20,CB,Cornerback,2024
Troy Hill,70.19,67.64,76.64,236.0,Buccaneers,Buccaneers,51,Starter,21,CB,Cornerback,2024
Marcus Jones,70.06,65.98,78.92,586.0,Patriots,Patriots,52,Starter,22,CB,Cornerback,2024
Kool-Aid McKinstry,70.03,66.45,72.76,680.0,Saints,Saints,53,Starter,23,CB,Cornerback,2024
Jarrian Jones,69.31,62.3,72.33,699.0,Jaguars,Jaguars,54,Starter,24,CB,Cornerback,2024
Tyson Campbell,68.97,63.82,75.33,767.0,Jaguars,Jaguars,55,Starter,25,CB,Cornerback,2024
Amik Robertson,68.65,61.92,72.5,630.0,Lions,Lions,56,Starter,26,CB,Cornerback,2024
Adoree' Jackson,68.58,63.74,73.91,426.0,Giants,Giants,57,Starter,27,CB,Cornerback,2024
Kendall Fuller,68.5,62.14,75.42,556.0,Dolphins,Dolphins,58,Starter,28,CB,Cornerback,2024
Jonathan Jones,68.29,61.05,73.02,712.0,Patriots,Patriots,59,Starter,29,CB,Cornerback,2024
Darious Williams,68.07,59.8,74.58,865.0,Rams,Rams,60,Starter,30,CB,Cornerback,2024
Shaquill Griffin,68.05,61.46,76.44,597.0,Vikings,Vikings,61,Starter,31,CB,Cornerback,2024
Cobie Durant,67.89,61.5,73.42,843.0,Rams,Rams,62,Starter,32,CB,Cornerback,2024
Chamarri Conner,67.83,62.54,68.75,679.0,Chiefs,Chiefs,63,Starter,33,CB,Cornerback,2024
Stephon Gilmore,67.82,59.2,73.71,904.0,Vikings,Vikings,64,Starter,34,CB,Cornerback,2024
Paulson Adebo,67.78,63.26,76.11,436.0,Saints,Saints,65,Starter,35,CB,Cornerback,2024
Isaiah Bolden,67.76,68.19,71.86,141.0,Patriots,Patriots,66,Starter,36,CB,Cornerback,2024
Ahkello Witherspoon,67.63,62.37,73.22,598.0,Rams,Rams,67,Starter,37,CB,Cornerback,2024
Kris Abrams-Draine,67.52,65.88,85.66,123.0,Broncos,Broncos,68,Starter,38,CB,Cornerback,2024
Darrell Baker Jr.,67.18,62.44,72.82,626.0,Titans,Titans,69,Starter,39,CB,Cornerback,2024
Tyrique Stevenson,67.14,58.41,73.57,810.0,Bears,Bears,70,Starter,40,CB,Cornerback,2024
Keisean Nixon,67.08,60.7,70.36,1077.0,Packers,Packers,71,Starter,41,CB,Cornerback,2024
Josh Newton,66.86,60.7,72.74,504.0,Bengals,Bengals,72,Starter,42,CB,Cornerback,2024
Ja'Quan McMillian,66.81,63.0,70.89,918.0,Broncos,Broncos,73,Starter,43,CB,Cornerback,2024
Beanie Bishop Jr.,66.46,57.63,71.7,550.0,Steelers,Steelers,74,Starter,44,CB,Cornerback,2024
Charvarius Ward,66.44,58.29,74.12,694.0,49ers,49ers,75,Starter,45,CB,Cornerback,2024
Amani Oruwariye,66.29,62.3,73.86,286.0,Cowboys,Cowboys,76,Starter,46,CB,Cornerback,2024
Cory Trice Jr.,65.83,67.42,76.7,194.0,Steelers,Steelers,77,Starter,47,CB,Cornerback,2024
Cor'Dale Flott,65.71,61.53,70.23,666.0,Giants,Giants,78,Starter,48,CB,Cornerback,2024
Alex Austin,65.31,62.08,77.58,234.0,Patriots,Patriots,79,Starter,49,CB,Cornerback,2024
Jakorian Bennett,65.27,60.75,73.41,459.0,Raiders,Raiders,80,Starter,50,CB,Cornerback,2024
Avonte Maddox,65.15,60.32,72.3,352.0,Eagles,Eagles,81,Starter,51,CB,Cornerback,2024
Israel Mukuamu,65.01,56.0,71.1,201.0,Cowboys,Cowboys,82,Starter,52,CB,Cornerback,2024
Trevon Diggs,64.99,60.27,75.01,683.0,Cowboys,Cowboys,83,Starter,53,CB,Cornerback,2024
Ronald Darby,64.93,59.34,73.52,659.0,Jaguars,Jaguars,84,Starter,54,CB,Cornerback,2024
Eric Stokes,64.93,62.03,70.9,588.0,Packers,Packers,85,Starter,55,CB,Cornerback,2024
Joey Porter Jr.,64.75,56.3,69.53,1038.0,Steelers,Steelers,86,Starter,56,CB,Cornerback,2024
Myles Bryant,64.7,61.17,70.0,156.0,Texans,Texans,87,Starter,57,CB,Cornerback,2024
Cam Hart,64.61,58.52,73.03,502.0,Chargers,Chargers,88,Starter,58,CB,Cornerback,2024
Jaycee Horn,64.58,57.9,73.85,1034.0,Panthers,Panthers,89,Starter,59,CB,Cornerback,2024
Fabian Moreau,64.4,60.2,73.41,104.0,Vikings,Vikings,90,Starter,60,CB,Cornerback,2024
Ja'Sir Taylor,64.39,58.5,71.92,353.0,Chargers,Chargers,91,Starter,61,CB,Cornerback,2024
Brandin Echols,64.12,60.84,69.77,406.0,Jets,Jets,92,Starter,62,CB,Cornerback,2024
Marshon Lattimore,64.07,58.1,74.43,687.0,Commanders,Commanders,93,Starter,63,CB,Cornerback,2024
Jarvis Brownlee Jr.,63.81,55.9,67.92,911.0,Titans,Titans,94,Starter,64,CB,Cornerback,2024
Kaiir Elam,63.78,60.92,73.1,359.0,Bills,Bills,95,Starter,65,CB,Cornerback,2024
Nate Hobbs,63.68,61.34,68.06,554.0,Raiders,Raiders,96,Starter,66,CB,Cornerback,2024
Taron Johnson,63.67,55.96,69.11,785.0,Bills,Bills,97,Starter,67,CB,Cornerback,2024
Max Melton,63.65,57.77,65.29,565.0,Cardinals,Cardinals,98,Starter,68,CB,Cornerback,2024
Roger McCreary,63.57,58.51,66.28,652.0,Titans,Titans,99,Starter,69,CB,Cornerback,2024
Chidobe Awuzie,63.53,58.71,72.89,373.0,Titans,Titans,100,Starter,70,CB,Cornerback,2024
Asante Samuel Jr.,63.48,58.99,71.91,234.0,Chargers,Chargers,101,Starter,71,CB,Cornerback,2024
Christian Roland-Wallace,63.36,60.54,71.71,197.0,Chiefs,Chiefs,102,Starter,72,CB,Cornerback,2024
Isaac Yiadom,62.83,55.95,70.91,488.0,49ers,49ers,103,Starter,73,CB,Cornerback,2024
Dee Alford,62.64,56.06,67.91,724.0,Falcons,Falcons,104,Starter,74,CB,Cornerback,2024
Rasul Douglas,62.59,51.6,70.47,997.0,Bills,Bills,105,Starter,75,CB,Cornerback,2024
Cameron Mitchell,62.57,56.85,66.3,371.0,Browns,Browns,106,Starter,76,CB,Cornerback,2024
