feature,base_feature,target,correlation,p_value,sample_size,q1_win_pct,q2_win_pct,q3_win_pct,q4_win_pct,interpretation
point_diff,Dif,win_pct,0.8980866375424396,1.7199333462076417e-195,544,0.2685715830449827,0.4392571366782007,0.5888570501730105,0.7862781141868512,"Pearson correlation between Dif and win_pct is 0.898 (p=0.000), indicating positive association."
nfelo,nfelo,win_pct,0.8677184003469787,1.1164419244719338e-166,544,0.28471020761245674,0.4385002162629758,0.5723399653979239,0.7874134948096886,"Pearson correlation between nfelo and win_pct is 0.868 (p=0.000), indicating positive association."
point_for,For,win_pct,0.7547501505448408,2.6463670900712736e-101,544,0.3078503460207612,0.4683445069204153,0.5672037197231834,0.7395653114186852,"Pearson correlation between For and win_pct is 0.755 (p=0.000), indicating positive association."
point_against,Against,win_pct,-0.6415234528650339,2.075955451254723e-64,544,0.6878243944636678,0.5896410034602075,0.4836721453287197,0.3218263408304498,"Pearson correlation between Against and win_pct is -0.642 (p=0.000), indicating negative association."
cb_grade_win_pct,cb_grade_mean,win_pct,0.36636751764511055,1.0769988622051593e-16,480,0.4080269607843137,0.48795955882352937,0.5597120098039216,0.6272058823529412,"Pearson correlation between cb_grade_mean and win_pct is 0.366 (p=0.000), indicating positive association."
s_grade_win_pct,s_grade_mean,win_pct,0.2941210501442756,4.9308207799327245e-11,480,0.4464460784313725,0.48909313725490194,0.5419117647058823,0.605453431372549,"Pearson correlation between s_grade_mean and win_pct is 0.294 (p=0.000), indicating positive association."
ed_grade_win_pct,ed_grade_mean,win_pct,0.26380619765219604,7.649749182084327e-09,465,0.44252765208647565,0.5051660750507099,0.5238019776876268,0.5921336206896551,"Pearson correlation between ed_grade_mean and win_pct is 0.264 (p=0.000), indicating positive association."
proe,proe,win_pct,0.2449061270138283,9.356302044544927e-06,320,0.4860753676470589,0.4664522058823529,0.5125919117647059,0.6181066176470589,"Pearson correlation between proe and win_pct is 0.245 (p=0.000), indicating positive association."
lb_grade_win_pct,lb_grade_mean,win_pct,0.2038095774664787,6.765688616118449e-06,480,0.4807598039215686,0.49543504901960783,0.5205882352941177,0.5861213235294117,"Pearson correlation between lb_grade_mean and win_pct is 0.204 (p=0.000), indicating positive association."
di_grade_win_pct,di_grade_mean,win_pct,0.1589636384228774,0.0004724797985044105,480,0.4722426470588235,0.5303615196078432,0.5360906862745097,0.5442095588235295,"Pearson correlation between di_grade_mean and win_pct is 0.159 (p=0.000), indicating positive association."
