team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,Year,weighted_grade,weighted_average_grade,merge_player_y
Bengals,00-0027605,43.74603858657363,Bengals,-0.06,25.00%,Dan LeFevour,QB,0.2601626016260162,2010.0,dan lefevour,,dan lefevour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0025409,283.76547319890085,Broncos,-0.13,25.00%,Brady Quinn,QB,0.5691056910569106,2010.0,brady quinn,brady quinn,brady quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027134,28.86611394023547,Colts,0.06,58.80%,Curtis Painter,QB,0.3396341463414634,2010.0,curtis painter,curtis painter,curtis painter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0025427,204.4017657041202,Commanders,-0.12,37.50%,John Beck,QB,0.584349593495935,2010.0,john beck,john beck,john beck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0027722,89.16640637281117,Eagles,0.01,58.80%,Mike Kafka,QB,0.3550373983739837,2010.0,mike kafka,mike kafka,mike kafka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0026505,0.0,Falcons,0.1,76.50%,John Parker Wilson,QB,0.3282520325203252,2010.0,john parker wilson,,john parker wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0020480,15.653710700060016,Giants,0.09,62.50%,Sage Rosenfels,QB,2.4932252032520323,2010.0,sage rosenfels,,sage rosenfels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0020305,9.202304938662405,Rams,-0.04,43.80%,A.J. Feeley,QB,2.642276422764228,2010.0,aj feeley,aj feeley,aj feeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0019599,5.817295714038884,Ravens,0.06,72.20%,Marc Bulger,QB,3.089430894308943,2010.0,marc bulger,,marc bulger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0022912,140.91376371398923,Seahawks,-0.13,44.40%,J.P. Losman,QB,0.5121951219512195,2010.0,jp losman,jp losman,jp losman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0024225,360.3334839346859,Texans,-0.04,37.50%,Matt Leinart,QB,0.5121951219512195,2010.0,matt leinart,matt leinart,matt leinart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0023578,34.33737520449745,Texans,-0.04,37.50%,Dan Orlovsky,QB,1.3414634146341464,2010.0,dan orlovsky,dan orlovsky,dan orlovsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0026916,58.65647718815181,Vikings,-0.07,37.50%,Rhett Bomar,QB,0.2601626016260162,2010.0,rhett bomar,,rhett bomar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0027384,0.0,Vikings,-0.07,37.50%,R.J. Archer,QB,0.045910569105691,2010.0,rj archer,,rj archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0028595,0.0,49ers,0.12,77.80%,Scott Tolzien,QB,0.3115264797507788,2011.0,scott tolzien,scott tolzien,scott tolzien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0028098,57.99784614601104,Bears,-0.07,50.00%,Nathan Enderle,QB,0.3465960539979231,2011.0,nathan enderle,,nathan enderle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0025409,256.76161809704575,Broncos,-0.09,50.00%,Brady Quinn,QB,0.5815160955347871,2011.0,brady quinn,brady quinn,brady quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0019041,0.0,Chargers,0.04,50.00%,Billy Volek,QB,2.076843198338526,2011.0,billy volek,billy volek,billy volek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0028073,77.50214835374705,Chiefs,-0.1,43.80%,Ricky Stanzi,QB,0.355358670820353,2011.0,ricky stanzi,,ricky stanzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0010346,45.04920239355782,Colts,-0.19,12.50%,Peyton Manning,QB,13.291796469366563,2011.0,peyton manning,peyton manning,peyton manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0028453,0.0,Dolphins,-0.01,37.50%,Pat Devlin,QB,0.0804984423676012,2011.0,pat devlin,,pat devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0028453,0.0,Dolphins,-0.01,37.50%,Pat Devlin,QB,0.0366496365524402,2011.0,pat devlin,,pat devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
