,TEAM,TOTAL DVOA,W-L,win-loss-pct,Abbr,Net
0,BAL,41.50%,14-2,0.875,BAL,0.292
1,KC,30.20%,12-4,0.75,KC,0.133
2,NE,29.90%,12-4,0.75,NE,0.227
3,NO,29.30%,13-3,0.8125,NO,0.12
4,SF,27.90%,13-3,0.8125,SF,0.216
5,DAL,17.10%,8-8,0.5,DAL,0.137
6,MIN,15.40%,10-6,0.625,MIN,0.123
7,SEA,13.80%,11-5,0.6875,SEA,-0.001
8,TEN,8.60%,9-7,0.5625,TEN,0.084
9,GB,7.70%,13-3,0.8125,GB,0.089
10,PHI,6.50%,9-7,0.5625,PHI,0.035
11,BUF,2.70%,10-6,0.625,BUF,0.061
12,TB,1.50%,7-9,0.4375,TB,0.072
13,CHI,-2.10%,8-8,0.5,CHI,-0.032
14,IND,-5.00%,7-9,0.4375,IND,0.009
15,ATL,-5.00%,7-9,0.4375,ATL,-0.03
16,PIT,-5.50%,8-8,0.5,PIT,-0.014
17,HOU,-5.80%,10-6,0.625,HOU,-0.002
18,ARI,-5.80%,5-10-1,0.3125,ARI,-0.081
19,LAC,-6.70%,5-11,0.3125,LAC,0.0
20,DEN,-9.00%,7-9,0.4375,DEN,-0.053
21,CLE,-10.10%,6-10,0.375,CLE,-0.076
22,DET,-12.10%,3-12-1,0.1875,DET,-0.11
23,NYJ,-15.80%,7-9,0.4375,NYJ,-0.133
24,NYG,-17.50%,4-12,0.25,NYG,-0.137
25,JAX,-18.00%,6-10,0.375,JAX,-0.125
26,CIN,-25.20%,2-14,0.125,CIN,-0.193
27,WAS,-25.70%,3-13,0.1875,WAS,-0.213
28,CAR,-26.90%,5-11,0.3125,CAR,-0.146
29,MIA,-36.70%,5-11,0.3125,MIA,-0.201
