feature,base_feature,target,correlation,p_value,sample_size,q1_win_pct,q2_win_pct,q3_win_pct,q4_win_pct,interpretation
point_diff,Dif,win_pct,0.8980866375424396,1.7199333462076417e-195,544,0.2685715830449827,0.4392571366782007,0.5888570501730105,0.7862781141868512,"Pearson correlation between Dif and win_pct is 0.898 (p=0.000), indicating positive association."
nfelo,nfelo,win_pct,0.8677184003469787,1.1164419244719338e-166,544,0.28471020761245674,0.4385002162629758,0.5723399653979239,0.7874134948096886,"Pearson correlation between nfelo and win_pct is 0.868 (p=0.000), indicating positive association."
off_epa_play,Play,win_pct,0.7171591563211388,4.785733862348942e-87,544,0.3257190743944637,0.44877270761245674,0.5702854671280277,0.7381866349480969,"Pearson correlation between Play and win_pct is 0.717 (p=0.000), indicating positive association."
off_epa_pass,Pass,win_pct,0.7165331852600627,7.899513007781488e-87,544,0.32339424740484424,0.4509623702422145,0.5781790657439446,0.7304282006920415,"Pearson correlation between Pass and win_pct is 0.717 (p=0.000), indicating positive association."
qb_grade_win_pct,qb_grade_mean,win_pct,0.6539161241277318,9.035389744636663e-60,479,0.3375612745098039,0.4581188725490196,0.5609375,0.7276631240731588,"Pearson correlation between qb_grade_mean and win_pct is 0.654 (p=0.000), indicating positive association."
wr_grade_win_pct,wr_grade_mean,win_pct,0.42796422285816643,8.476751807985877e-23,480,0.3939950980392157,0.48400735294117647,0.568688725490196,0.6362132352941177,"Pearson correlation between wr_grade_mean and win_pct is 0.428 (p=0.000), indicating positive association."
off_epa_rush,Rush,win_pct,0.30487208387815745,3.6442307845432374e-13,544,0.43012002595155713,0.4968371539792387,0.5459829152249135,0.6100237889273356,"Pearson correlation between Rush and win_pct is 0.305 (p=0.000), indicating positive association."
te_grade_win_pct,te_grade_mean,win_pct,0.3047444960115573,8.968956890439096e-12,480,0.42598039215686273,0.509344362745098,0.5521446078431372,0.5954350490196079,"Pearson correlation between te_grade_mean and win_pct is 0.305 (p=0.000), indicating positive association."
ol_grade_win_pct,ol_grade_mean,win_pct,0.2753910355787109,8.417718038702072e-10,480,0.4528799019607843,0.49721200980392155,0.5196691176470588,0.6131433823529412,"Pearson correlation between ol_grade_mean and win_pct is 0.275 (p=0.000), indicating positive association."
proe,proe,win_pct,0.2449061270138283,9.356302044544927e-06,320,0.4860753676470589,0.4664522058823529,0.5125919117647059,0.6181066176470589,"Pearson correlation between proe and win_pct is 0.245 (p=0.000), indicating positive association."
hb_grade_win_pct,hb_grade_mean,win_pct,0.2253615204372121,6.952662600146633e-07,475,0.43416337123084525,0.525488136431043,0.5309384346959123,0.5916955017301039,"Pearson correlation between hb_grade_mean and win_pct is 0.225 (p=0.000), indicating positive association."
